DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
81,0.778,0.003,0.014,0,0.051,0.015,0,0.028,0.03,0,81,10,8,12,11,20,9,15,12,0.03,,,81,2.991%,11.167%,0.000%,55.932%,29.910%,0.000%,53.846%,46.154%,0.000%,,,,,,,,,,,,
82,0.789,0,0.012,0.039,0.041,0.009,0,0,0.066,0.008,82,8,11,9,9,16,8,9,12,0.07,,,82,0.000%,13.253%,35.241%,37.048%,14.458%,0.000%,0.000%,99.929%,0.071%,,,,,,,,,,,,
83,0.924,0,0.004,0.111,0,0.004,0,0,0.071,0,83,12,9,8,11,16,13,10,13,0.013,,,83,0.000%,3.644%,89.879%,0.000%,6.478%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
84,0.753,0,0.004,0.079,0.025,0,0,0,0.063,0.001,84,13,15,9,9,18,19,11,12,0.23,,,84,0.000%,6.024%,71.386%,22.590%,0.000%,0.000%,0.000%,99.970%,0.030%,,,,,,,,,,,,
85,0.9,0.007,0.01,0.122,0,0,0,0.038,0.044,0,85,11,7,7,9,22,10,11,11,0.03,,,85,7.692%,6.993%,85.315%,0.000%,0.000%,0.000%,46.341%,53.659%,0.000%,,,,,,,,,,,,
86,1,0,0.088,0.035,0,0.018,0,0.067,0,0,86,8,3,9,12,23,9,15,14,0.05,,,86,0.000%,26.586%,31.722%,0.000%,41.692%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
87,0.825,0.027,0.002,0.032,0.062,0,0,0.049,0.019,0.039,87,5,9,9,9,27,7,12,12,0.15,,,87,13.514%,1.802%,28.829%,55.856%,0.000%,0.000%,71.546%,27.742%,0.712%,,,,,,,,,,,,
88,0.843,0.026,0,0.043,0,0.035,0,0.07,0,0.061,88,6,11,9,10,13,8,12,12,0.1,,,88,15.631%,0.000%,38.778%,0.000%,45.591%,0.000%,99.279%,0.000%,0.721%,,,,,,,,,,,,
89,0.675,0,0,0.1,0,0,0,0.056,0,0,89,22,16,10,12,20,25,12,12,0.95,,,89,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
90,0.769,0,0.004,0.081,0.026,0,0,0,0.064,0,90,24,10,9,9,26,20,12,12,0.47,,,90,0.000%,3.988%,72.682%,23.330%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
