radial,AG,EN,CH,CS,IN,MF,,holgura,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,mejora potencial,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE
,-6,-4.5,-2.25,-2.25,-5.25,-6,,23,11.15,1.39,0,0,4.18,16.73,3,3,0.15,,23,-17.15,-5.89,-2.25,-2.25,-9.43,-22.73,3,3,0.15,,23,24,18,9,9,21,24,12,12,0.6,,23,-71%,-33%,-25%,-25%,-45%,-95%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,24,9.21,1.15,0,0,3.45,13.82,3,3,0.45,,24,-15.21,-5.65,-2.25,-2.25,-8.7,-19.82,3,3,0.45,,24,24,18,9,9,21,24,12,12,1.8,,24,-63%,-31%,-25%,-25%,-41%,-83%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,25,10.18,1.27,0,0,3.82,15.27,3,3,0.3,,25,-16.18,-5.77,-2.25,-2.25,-9.07,-21.27,3,3,0.3,,25,24,18,9,9,21,24,12,12,1.2,,25,-67%,-32%,-25%,-25%,-43%,-89%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,26,11.47,1.43,0,0,4.3,17.21,3,3,0.1,,26,-17.47,-5.93,-2.25,-2.25,-9.55,-23.21,3,3,0.1,,26,24,18,9,9,21,24,12,12,0.4,,26,-73%,-33%,-25%,-25%,-45%,-97%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,27,10.83,1.35,0,0,4.06,16.24,3,3,0.2,,27,-16.83,-5.85,-2.25,-2.25,-9.31,-22.24,3,3,0.2,,27,24,18,9,9,21,24,12,12,0.8,,27,-70%,-33%,-25%,-25%,-44%,-93%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,28,10.83,1.35,0,0,4.06,16.24,3,3,0.2,,28,-16.83,-5.85,-2.25,-2.25,-9.31,-22.24,3,3,0.2,,28,24,18,9,9,21,24,12,12,0.8,,28,-70%,-33%,-25%,-25%,-44%,-93%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,29,10.83,1.35,0,0,4.06,16.24,3,3,0.2,,29,-16.83,-5.85,-2.25,-2.25,-9.31,-22.24,3,3,0.2,,29,24,18,9,9,21,24,12,12,0.8,,29,-70%,-33%,-25%,-25%,-44%,-93%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,30,0,0,0,0,0,0,3,3,7.46,,30,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.46,,30,24,18,9,9,21,24,12,12,0.05,,30,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,14925%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,31,9.7,1.21,0,0,3.64,14.55,3,3,0.37,,31,-15.7,-5.71,-2.25,-2.25,-8.89,-20.55,3,3,0.37,,31,24,18,9,9,21,24,12,12,1.5,,31,-65%,-32%,-25%,-25%,-42%,-86%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,32,0,0,0,0,0,0,3,3,7.5,,32,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,32,24,18,9,9,21,24,12,12,0,,32,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,33,0,0,0,0,0,0,3,3,7.5,,33,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,33,24,18,9,9,21,24,12,12,0,,33,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,34,0,0,0,0,0,0,3,3,7.5,,34,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,34,24,18,9,9,21,24,12,12,0,,34,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,35,0,0,0,0,0,0,3,3,7.5,,35,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,35,24,18,9,9,21,24,12,12,0,,35,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,36,0,0,0,0,0,0,3,3,7.5,,36,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,36,24,18,9,9,21,24,12,12,0,,36,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4,-2.25,-2.25,-5.25,-5.75,,37,12,0,0,0,4.5,17.25,3,3,0.08,,37,-18,-4,-2.25,-2.25,-9.75,-23,3,3,0.08,,37,24,16,9,9,21,23,12,12,0,,37,-75%,-25%,-25%,-25%,-46%,-100%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.5,-6,,38,0,0,0,0,0.75,0,3,3,7.5,,38,-6,-4.5,-2.25,-2.25,-6.25,-6,3,3,7.5,,38,24,18,9,9,22,24,12,12,0,,38,-25%,-25%,-25%,-25%,-28%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-4,,39,4,0.5,0,0,1.5,0,8.5,3,0.05,,39,-10,-5,-2.25,-2.25,-6.75,-4,8.5,3,0.05,,39,24,18,9,9,21,16,4,12,0,,39,-42%,-28%,-25%,-25%,-32%,-25%,213%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,40,0,0,0,0,0,0,3,3,7.43,,40,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.43,,40,24,18,9,9,21,24,12,12,0.1,,40,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,7425%
